"Post ID",Title,URL,Categories,"Category URLs",Tags,"Tag URLs",Author,"Published Date","Modified Date",Status
614,"Có nên cho vay mượn không?",https://hientensai.com/co-nen-cho-vay-muon-khong/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"tiền, vay mượn","https://hientensai.com/tag/tien/, https://hientensai.com/tag/vay-muon/",hienhydrology,"2023-03-08 06:48:25","2023-03-22 05:19:57",Publish
625,"OẲN TÙ TÌ VÀ ĐỊNH LUẬT MURPHY",https://hientensai.com/oan-tu-ti-va-dinh-luat-murphy/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"định luật, Murphy, oẳn tù tì","https://hientensai.com/tag/dinh-luat/, https://hientensai.com/tag/murphy/, https://hientensai.com/tag/oan-tu-ti/",hienhydrology,"2023-03-07 15:55:27","2023-03-22 05:20:22",Publish
649,"Phonics Học thế nào với Oxford Phonics World",https://hientensai.com/hoc-danh-van-va-tap-doc-tieng-anh-the-nao-voi-oxford-phonics-world/,"All Review, Sách trẻ con review","https://hientensai.com/category/review/, https://hientensai.com/category/review/children-books/","download, Oxford, oxford phonics word pdf, phonics, tập đọc","https://hientensai.com/tag/download/, https://hientensai.com/tag/oxford/, https://hientensai.com/tag/oxford-phonics-word-pdf/, https://hientensai.com/tag/phonics/, https://hientensai.com/tag/tap-doc/",hienhydrology,"2023-03-14 17:13:56","2023-03-22 05:18:30",Publish
775,"Hành trình Xuyên Việt của Vinfast Lux A",https://hientensai.com/hanh-trinh-xuyen-viet-cua-vinfast-lux-a/,"Những chuyến đi, Xuyên Việt","https://hientensai.com/category/travel/, https://hientensai.com/category/travel/vietnam/","du lịch, Vinfast, Xuyên Việt","https://hientensai.com/tag/du-lich/, https://hientensai.com/tag/vinfast/, https://hientensai.com/tag/xuyen-viet/",hienhydrology,"2023-03-15 15:36:36","2023-03-22 05:14:48",Publish
795,"Định luật Murphy? Cơ chế hoạt động như thế nào và mức ám ảnh của nó?",https://hientensai.com/dinh-luat-murphy-la-gi-co-che-hoat-dong-nhu-the-nao-va-muc-am-anh-cua-no/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"ám ảnh, định luật, Murphy","https://hientensai.com/tag/am-anh/, https://hientensai.com/tag/dinh-luat/, https://hientensai.com/tag/murphy/",hienhydrology,"2023-03-16 15:21:46","2023-03-22 05:14:22",Publish
824,"Ăn gì ở đâu khi tới Cao Bằng",https://hientensai.com/an-gi-o-dau-khi-toi-cao-bang/,"Những chuyến đi, Xuyên Việt","https://hientensai.com/category/travel/, https://hientensai.com/category/travel/vietnam/","ăn gì, Cao Bằng, Xuyên Việt","https://hientensai.com/tag/an-gi/, https://hientensai.com/tag/cao-bang/, https://hientensai.com/tag/xuyen-viet/",hienhydrology,"2023-03-17 17:15:47","2023-03-22 05:14:03",Publish
863,"Đến Buôn Jun, Đăk Lăk xem gì, ở đâu?",https://hientensai.com/den-buon-jun-dak-lak-xem-gi-o-dau/,"Những chuyến đi, Xuyên Việt","https://hientensai.com/category/travel/, https://hientensai.com/category/travel/vietnam/","ăn gì, đăk lăk, travel, Xuyên Việt","https://hientensai.com/tag/an-gi/, https://hientensai.com/tag/dak-lak/, https://hientensai.com/tag/travel/, https://hientensai.com/tag/xuyen-viet/",hienhydrology,"2023-03-18 06:58:35","2023-03-22 05:13:35",Publish
930,"Nuôi Em 500 có Đào giờ thế nào",https://hientensai.com/nuoi-em-500-co-dao-gio-the-nao/,"Chuyện Hiền kể, Chuyện Hiền làm","https://hientensai.com/category/untold-story/, https://hientensai.com/category/untold-story/volunteer/","đào, nuôi em, nuoiem500","https://hientensai.com/tag/dao/, https://hientensai.com/tag/nuoi-em/, https://hientensai.com/tag/nuoiem500/",hienhydrology,"2023-03-18 07:48:58","2023-03-22 05:13:03",Publish
947,"Những lưu ý khi du lịch Đăk Nông",https://hientensai.com/nhung-luu-y-khi-du-lich-dak-nong/,"Những chuyến đi, Xuyên Việt","https://hientensai.com/category/travel/, https://hientensai.com/category/travel/vietnam/","Đăk Nông, kinh nghiệm du lịch","https://hientensai.com/tag/dak-nong/, https://hientensai.com/tag/kinh-nghiem-du-lich/",hienhydrology,"2023-03-18 14:35:40","2023-03-22 05:12:29",Publish
979,"Cần chuẩn bị gì cho chuyến Xuyên Việt bằng ô tô với trẻ nhỏ",https://hientensai.com/can-chuan-bi-nhung-gi-cho-chuyen-xuyen-viet-dai-ngay-bang-o-to-voi-tre-nho/,"Những chuyến đi, Xuyên Việt","https://hientensai.com/category/travel/, https://hientensai.com/category/travel/vietnam/","sedan, trẻ nhỏ, Xuyên Việt","https://hientensai.com/tag/sedan/, https://hientensai.com/tag/tre-nho/, https://hientensai.com/tag/xuyen-viet/",hienhydrology,"2023-03-19 07:34:33","2023-03-22 05:11:11",Publish
1047,"Top những quán ăn gà siêuuuuuuuuu mlemmmm xuyên Việt",https://hientensai.com/top-nhung-quan-an-ga-sieuuuuuuuuu-mlemmmm/,"Những chuyến đi, Xuyên Việt","https://hientensai.com/category/travel/, https://hientensai.com/category/travel/vietnam/","gà nướng, quán gà, Xuyên Việt","https://hientensai.com/tag/ga-nuong/, https://hientensai.com/tag/quan-ga/, https://hientensai.com/tag/xuyen-viet/",hienhydrology,"2023-03-20 06:15:22","2023-03-22 05:11:53",Publish
1087,"Mạng xã hội: nối gần khoảng cách hay cắt đứt kết nối</strong>",https://hientensai.com/mang-xa-hoi-noi-gan-khoang-cach-hay-cat-dut-ket-noi/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"facebook, giới trẻ, instagram, mạng xã hội","https://hientensai.com/tag/facebook/, https://hientensai.com/tag/gioi-tre/, https://hientensai.com/tag/instagram/, https://hientensai.com/tag/mang-xa-hoi/",hienhydrology,"2023-03-21 17:00:09","2023-03-22 06:15:01",Publish
1114,"Làm thế nào để giảm bớt cái tôi của mình</strong>",https://hientensai.com/lam-the-nao-de-giam-bot-cai-toi-cua-minh/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"cái tôi, giảm bớt, làm thế nào","https://hientensai.com/tag/cai-toi/, https://hientensai.com/tag/giam-bot/, https://hientensai.com/tag/lam-the-nao/",hienhydrology,"2023-03-22 11:06:59","2023-03-22 11:31:56",Publish
1154,"Trăn trở ở ngưỡng tuổi 18. Học đại học để làm gì?</strong>",https://hientensai.com/tran-tro-o-nguong-tuoi-18-hoc-dai-hoc-de-lam-gi/,"Chuyện Hiền kể, Chuyện sự nghiệp","https://hientensai.com/category/untold-story/, https://hientensai.com/category/untold-story/career/","chênh vênh, đại học, tuổi 18","https://hientensai.com/tag/chenh-venh/, https://hientensai.com/tag/dai-hoc/, https://hientensai.com/tag/tuoi-18/",hienhydrology,"2023-03-23 07:05:30","2023-03-28 06:13:18",Publish
1172,"Làm thế nào để thoát khỏi vòng xoáy chi tiêu không cần thiết?",https://hientensai.com/lam-the-nao-de-thoat-khoi-vong-xoay-chi-tieu-khong-can-thiet/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"chi tiêu, mua sắm","https://hientensai.com/tag/chi-tieu/, https://hientensai.com/tag/mua-sam/",hienhydrology,"2023-03-24 19:24:34","2023-03-24 19:33:00",Publish
1197,"Danh sách các quán ăn ngon có chỗ chơi, chỗ nghỉ xuyên Việt",https://hientensai.com/danh-sach-cac-quan-an-ngon-co-cho-choi-cho-nghi-xuyen-viet/,"Những chuyến đi, Xuyên Việt","https://hientensai.com/category/travel/, https://hientensai.com/category/travel/vietnam/","chỗ nghỉ, quán ăn, Xuyên Việt","https://hientensai.com/tag/cho-nghi/, https://hientensai.com/tag/quan-an/, https://hientensai.com/tag/xuyen-viet/",hienhydrology,"2023-03-25 16:33:59","2023-03-26 16:14:57",Publish
1250,"Đầu tư gì trong năm 2023",https://hientensai.com/dau-tu-gi-trong-nam-2023/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,,,hienhydrology,"2023-03-26 16:52:16","2023-03-26 16:59:15",Publish
1255,"Hãy đặt bảng điểm xuống và ôm lấy con&#8230;.",https://hientensai.com/nhung-nguoi-me-manh-me-nhat/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"con, mẹ, nỗi đau","https://hientensai.com/tag/con/, https://hientensai.com/tag/me/, https://hientensai.com/tag/noi-dau/",hienhydrology,"2023-03-27 19:22:53","2023-03-27 20:28:34",Publish
1273,"Những tài liệu luyện IELTS nên bỏ túi",https://hientensai.com/nhung-tai-lieu-luyen-ielts-nen-bo-tui/,"Chinh phục ngoại ngữ, Du học và ngoại ngữ","https://hientensai.com/category/languages/languages-languages/, https://hientensai.com/category/languages/","ielts, luyện thi, tài liệu","https://hientensai.com/tag/ielts/, https://hientensai.com/tag/luyen-thi/, https://hientensai.com/tag/tai-lieu/",hienhydrology,"2023-03-28 06:53:21","2023-03-29 05:41:50",Publish
1301,"Vì sao chúng ta luôn ghi nhớ nỗi đau lâu hơn?",https://hientensai.com/vi-sao-chung-ta-luon-ghi-nho-noi-dau-lau-hon/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"bad memories, ghi nhớ, nỗi đau","https://hientensai.com/tag/bad-memories/, https://hientensai.com/tag/ghi-nho/, https://hientensai.com/tag/noi-dau/",hienhydrology,"2023-03-29 18:19:06","2023-03-29 18:19:06",Publish
1321,"Có trường rồi, em sẽ đi học được bao lâu?",https://hientensai.com/co-truong-roi-em-se-di-hoc-duoc-bao-lau/,"Chuyện Hiền kể, Chuyện Hiền làm","https://hientensai.com/category/untold-story/, https://hientensai.com/category/untold-story/volunteer/","miền núi, nuôi em, xây trường","https://hientensai.com/tag/mien-nui/, https://hientensai.com/tag/nuoi-em/, https://hientensai.com/tag/xay-truong/",hienhydrology,"2023-04-02 21:17:54","2023-04-03 06:40:26",Publish
1346,"Mời cả nhà trở về tuổi thơ",https://hientensai.com/moi-ca-nha-tro-ve-tuoi-tho/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"nhót, tuổi thơ","https://hientensai.com/tag/nhot/, https://hientensai.com/tag/tuoi-tho/",hienhydrology,"2023-04-03 21:54:15","2023-04-03 21:54:15",Publish
1347,"Làm sao để giảm bớt cơn “tantrums” của….”bậc” cha mẹ???",https://hientensai.com/lam-sao-de-giam-bot-con-tantrums-cua-bac-cha-me/,"Chuyện gia đình, Chuyện Hiền kể","https://hientensai.com/category/untold-story/family/, https://hientensai.com/category/untold-story/","cha mẹ, nóng giận, tantrums","https://hientensai.com/tag/cha-me/, https://hientensai.com/tag/nong-gian/, https://hientensai.com/tag/tantrums/",hienhydrology,"2023-04-07 11:50:21","2023-04-07 14:45:32",Publish
1362,"Cách học Tiếng Anh hiệu quả cho trẻ",https://hientensai.com/cach-hoc-tieng-anh-hieu-qua-cho-tre/,"Chinh phục ngoại ngữ, Du học và ngoại ngữ","https://hientensai.com/category/languages/languages-languages/, https://hientensai.com/category/languages/","hiệu quả, tiếng anh, trẻ em","https://hientensai.com/tag/hieu-qua/, https://hientensai.com/tag/tieng-anh/, https://hientensai.com/tag/tre-em/",hienhydrology,"2023-04-08 18:52:20","2023-04-08 22:43:37",Publish
1401,"Top các kênh youtube tuyệt vời cho trẻ NGẤM Tiếng Anh",https://hientensai.com/top-cac-kenh-youtube-tuyet-voi-cho-tre-ngam-tieng-anh/,"Chinh phục ngoại ngữ, Du học và ngoại ngữ","https://hientensai.com/category/languages/languages-languages/, https://hientensai.com/category/languages/","học, tiếng anh, trẻ em, youtube","https://hientensai.com/tag/hoc/, https://hientensai.com/tag/tieng-anh/, https://hientensai.com/tag/tre-em/, https://hientensai.com/tag/youtube/",hienhydrology,"2023-04-10 10:26:56","2023-04-10 10:30:06",Publish
1420,"Các kênh kể chuyện, đọc sách tiếng Anh và cách đọc hiệu quả cùng con",https://hientensai.com/cac-kenh-ke-chuyen-doc-sach-tieng-anh-va-cach-doc-hieu-qua-cung-con/,"Chinh phục ngoại ngữ, Du học và ngoại ngữ","https://hientensai.com/category/languages/languages-languages/, https://hientensai.com/category/languages/","đọc sách, trẻ em, youtube","https://hientensai.com/tag/doc-sach/, https://hientensai.com/tag/tre-em/, https://hientensai.com/tag/youtube/",hienhydrology,"2023-04-12 21:20:20","2023-04-12 21:20:22",Publish
1437,"Các kênh dậy vẽ bằng tiếng anh đỉnh của chóp cho bé",https://hientensai.com/cac-kenh-day-ve-bang-tieng-anh-dinh-cua-chop-cho-be/,"All Review",https://hientensai.com/category/review/,"tiếng anh, trẻ em, vẽ","https://hientensai.com/tag/tieng-anh/, https://hientensai.com/tag/tre-em/, https://hientensai.com/tag/ve/",hienhydrology,"2023-04-11 08:52:17","2023-04-11 08:55:58",Publish
1460,"Các bộ phim hoạt hình, kênh video Tiếng Anh thú vị trên Youtube cho trẻ",https://hientensai.com/cac-bo-phim-hoat-hinh-kenh-video-tieng-anh-thu-vi-tren-youtube-cho-tre/,"All Review",https://hientensai.com/category/review/,"tiếng anh, trẻ em, xem","https://hientensai.com/tag/tieng-anh/, https://hientensai.com/tag/tre-em/, https://hientensai.com/tag/xem/",hienhydrology,"2023-04-13 14:10:30","2023-04-13 14:14:09",Publish
1488,"Tự nhiên có luôn cân bằng? Và chiếc xích đu của cuộc đời bạn.",https://hientensai.com/tu-nhien-co-luon-can-bang-va-chiec-xich-du-cua-cuoc-doi-ban/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"cân bằng, được mất","https://hientensai.com/tag/can-bang/, https://hientensai.com/tag/duoc-mat/",hienhydrology,"2023-04-14 21:11:57","2023-04-14 21:11:57",Publish
1489,"Giáo viên nước ngoài thay vì giáo viên người Việt?",https://hientensai.com/ban-co-dang-do-nhieu-tien-cho-giao-vien-nuoc-ngoai-thay-vi-giao-vien-nguoi-viet/,"Du học và ngoại ngữ",https://hientensai.com/category/languages/,"GVNN, tiền, tiếng anh","https://hientensai.com/tag/gvnn/, https://hientensai.com/tag/tien/, https://hientensai.com/tag/tieng-anh/",hienhydrology,"2023-04-15 10:18:23","2023-04-15 10:54:58",Publish
1509,"SERIES Tôi đã bước qua những gì để có được ngày hôm nay? Chị cả của chúng tôi.",https://hientensai.com/series-toi-da-buoc-qua-nhung-gi-de-co-duoc-ngay-hom-nay/,"Chuyện gia đình, Chuyện Hiền kể","https://hientensai.com/category/untold-story/family/, https://hientensai.com/category/untold-story/","gia đình, thành công","https://hientensai.com/tag/gia-dinh/, https://hientensai.com/tag/thanh-cong/",hienhydrology,"2023-04-16 18:44:31","2023-06-01 11:45:13",Publish
1515,"Series những bộ sách tiếng Anh cơ bản nên cho trẻ bắt đầu",https://hientensai.com/series-nhung-bo-sach-tieng-anh-co-ban-nen-cho-tre-bat-dau/,"Chinh phục ngoại ngữ, Du học và ngoại ngữ","https://hientensai.com/category/languages/languages-languages/, https://hientensai.com/category/languages/","Oxford, tiếng anh, trẻ em","https://hientensai.com/tag/oxford/, https://hientensai.com/tag/tieng-anh/, https://hientensai.com/tag/tre-em/",hienhydrology,"2023-04-17 21:08:24","2023-04-18 06:31:51",Publish
1530,"Một chuyến đi đẹp &#8211; xây trường Hà Giang",https://hientensai.com/mot-chuyen-di-dep-xay-truong-ha-giang/,"Chuyện Hiền kể, Chuyện Hiền làm","https://hientensai.com/category/untold-story/, https://hientensai.com/category/untold-story/volunteer/","đẹp, hà giang, xây trường","https://hientensai.com/tag/dep/, https://hientensai.com/tag/ha-giang/, https://hientensai.com/tag/xay-truong/",hienhydrology,"2023-04-18 21:53:33","2023-04-18 21:53:33",Publish
1536,"Series mình đã bước qua những gì? Dấu chân của bố mẹ.",https://hientensai.com/series-minh-da-buoc-qua-nhung-gi-dau-chan-cua-bo-me/,"Chuyện gia đình, Chuyện Hiền kể","https://hientensai.com/category/untold-story/family/, https://hientensai.com/category/untold-story/","bố, journey, mẹ","https://hientensai.com/tag/bo/, https://hientensai.com/tag/journey/, https://hientensai.com/tag/me/",hienhydrology,"2023-04-19 21:05:07","2023-04-19 21:05:07",Publish
1538,"Review cách học bộ sách Family and Friends",https://hientensai.com/review-cach-hoc-bo-sach-family-and-friends/,"Chinh phục ngoại ngữ, Du học và ngoại ngữ","https://hientensai.com/category/languages/languages-languages/, https://hientensai.com/category/languages/","cách học, Family and friends","https://hientensai.com/tag/cach-hoc/, https://hientensai.com/tag/family-and-friends/",hienhydrology,"2023-04-28 15:20:54","2023-04-28 15:27:30",Publish
1546,"Review sách Tiếng anh hay cho trẻ Everybody Up",https://hientensai.com/review-sach-tieng-anh-hay-cho-tre/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"everybody up, sách tiếng anh, trẻ em","https://hientensai.com/tag/everybody-up/, https://hientensai.com/tag/sach-tieng-anh/, https://hientensai.com/tag/tre-em/",hienhydrology,"2023-04-29 20:46:39","2023-05-04 08:49:46",Publish
1554,"Dự Án Nuôi Em 500 &#8211; Giọt nước mắt ngọt ngào",https://hientensai.com/du-an-nuoi-em-500-giot-nuoc-mat-ngot-ngao/,"Chuyện Hiền kể, Chuyện Hiền làm","https://hientensai.com/category/untold-story/, https://hientensai.com/category/untold-story/volunteer/","nuôi em, nuôi em 500","https://hientensai.com/tag/nuoi-em/, https://hientensai.com/tag/nuoi-em-500/",hienhydrology,"2023-04-30 14:33:28","2023-04-30 14:57:13",Publish
1563,"Đừng áp lực với các chứng chỉ tiếng anh",https://hientensai.com/dung-ap-luc-voi-cac-chung-chi-tieng-anh/,"Chinh phục ngoại ngữ, Du học và ngoại ngữ","https://hientensai.com/category/languages/languages-languages/, https://hientensai.com/category/languages/","áp lực, chứng chỉ, ielts","https://hientensai.com/tag/ap-luc/, https://hientensai.com/tag/chung-chi/, https://hientensai.com/tag/ielts/",hienhydrology,"2023-05-05 06:18:54","2023-05-05 06:24:33",Publish
1571,"Dễ dãi với cuộc đời hay vô trách nhiệm với bản thân?",https://hientensai.com/ban-co-dang-de-dai-voi-cuoc-doi-hay-vo-trach-nhiem-voi-ban-than/,"Chuyện Hiền kể",https://hientensai.com/category/untold-story/,"dễ dãi, quẳng gánh lo đi và vui sống, vô trách nhiệm","https://hientensai.com/tag/de-dai/, https://hientensai.com/tag/quang-ganh-lo-di-va-vui-song/, https://hientensai.com/tag/vo-trach-nhiem/",hienhydrology,"2023-05-16 12:06:30","2023-05-16 14:08:51",Publish
1598,"Cách khai thác Oxford Phonics World đầy thích thú cho trẻ",https://hientensai.com/cach-khai-thac-oxford-phonics-world-day-thich-thu-cho-tre/,"Chinh phục ngoại ngữ, Du học và ngoại ngữ","https://hientensai.com/category/languages/languages-languages/, https://hientensai.com/category/languages/","Oxford, phonics, tiếng anh, trẻ em","https://hientensai.com/tag/oxford/, https://hientensai.com/tag/phonics/, https://hientensai.com/tag/tieng-anh/, https://hientensai.com/tag/tre-em/",hienhydrology,"2023-08-22 15:05:00","2023-08-22 15:21:15",Publish
